Title,Year,Rating,Box Office,Category
Movie E,2019,2.8,812648244.72,Drama
Movie E,2023,5.9,513405385.83,Comedy
Movie C,2017,2.1,804634619.1,Comedy
Movie C,2021,7.6,629884122.25,Romance
Movie E,1992,4.1,657220912.27,Action
Movie A,2013,2.2,318218423.49,Crime
Movie B,2010,2.0,437832537.28,Drama
Movie E,1996,2.5,583307865.84,Romance
Movie D,1984,1.3,568644721.95,Drama
Movie C,2009,4.5,855048844.14,Romance
Movie C,2008,2.3,840193014.26,Comedy
Movie E,1980,3.6,178660519.46,Action
Movie A,1987,9.6,912260831.48,Action
Movie D,2010,1.8,186244119.76,Comedy
Movie B,2010,2.1,571023474.18,Drama
Movie E,2007,6.2,203652711.0,Romance
Movie C,1984,1.1,472036585.22,Comedy
Movie A,2012,5.8,128689235.44,Romance
Movie D,2023,8.1,999621570.89,Comedy
Movie E,2007,6.6,256354686.7,Action
Movie C,1982,1.4,24051122.57,Drama
Movie C,2020,4.2,300110402.71,Comedy
Movie E,1988,6.6,915595727.65,Crime
Movie C,2019,1.6,70487803.75,Crime
Movie B,1990,4.9,802459263.25,Comedy
Movie B,2023,5.2,675446018.78,Comedy
Movie B,1992,6.7,678048671.65,Action
Movie E,1991,4.0,291338972.79,Drama
Movie B,2022,3.6,598530297.86,Action
Movie E,2017,6.4,128093972.7,Romance
Movie E,2022,7.6,919309571.68,Romance
Movie C,2018,7.9,519583424.35,Comedy
Movie C,2008,2.8,143372119.03,Drama
Movie E,1990,7.3,598155079.81,Crime
Movie E,2007,9.9,367183496.98,Crime
Movie B,1980,9.6,687240574.17,Action
Movie A,1981,2.6,562997367.29,Comedy
Movie B,2005,4.5,582534214.4,Crime
Movie D,2011,1.4,901719565.68,Action
Movie E,2009,6.8,895057705.43,Crime
Movie E,2010,9.2,850869049.11,Crime
Movie A,1982,9.7,410215695.71,Action
Movie B,2011,10.0,795214131.81,Drama
Movie D,2006,3.5,878642148.55,Action
Movie D,1991,8.2,457264569.78,Romance
Movie E,2002,2.5,656938930.3,Comedy
Movie D,1992,2.4,578748883.37,Crime
Movie C,2010,7.1,33816956.78,Comedy
Movie D,2018,4.5,936686887.09,Comedy
Movie C,1982,1.9,318402593.46,Comedy
Movie E,2023,4.3,388437043.34,Crime
Movie E,2009,4.6,433428794.75,Action
Movie B,2005,3.9,473945940.0,Comedy
Movie D,1980,7.0,587594727.35,Drama
Movie D,2018,3.9,321225917.11,Drama
Movie D,2014,6.8,766879236.53,Drama
Movie B,2016,4.3,948964428.31,Drama
Movie D,1981,3.3,947914289.55,Comedy
Movie E,2007,6.4,463207291.7,Comedy
Movie B,1989,1.1,416689484.25,Action
Movie B,2009,4.3,147193719.44,Crime
Movie C,1997,5.7,202362472.16,Drama
Movie C,2000,4.7,174368713.05,Drama
Movie D,2012,2.7,286145567.98,Romance
Movie B,1990,2.4,535192370.13,Romance
Movie B,2002,1.1,621405819.47,Action
Movie A,2013,6.8,361982015.81,Romance
Movie E,2003,5.9,975113580.52,Drama
Movie E,1985,4.3,835479948.87,Romance
Movie B,2022,2.3,937671914.67,Romance
Movie A,2018,2.1,100089793.5,Action
Movie D,1991,5.6,738574205.3,Drama
Movie A,2008,7.1,213641945.01,Drama
Movie A,2017,8.4,280588484.03,Action
Movie A,2001,3.7,194481947.51,Comedy
Movie D,1994,5.4,810784109.28,Comedy
Movie A,2000,9.6,755772338.45,Drama
Movie A,2009,4.2,952816646.37,Crime
Movie B,2013,2.0,929045708.79,Drama
Movie A,1983,9.7,840956886.52,Comedy
Movie A,1993,2.2,789574194.56,Crime
Movie A,2008,1.4,650046170.69,Comedy
Movie C,2013,6.6,782646698.04,Comedy
Movie C,1996,3.4,364662181.81,Crime
Movie B,2005,5.9,213098177.97,Action
Movie B,1984,7.0,16802228.04,Drama
Movie A,2013,2.0,325153494.35,Romance
Movie A,2022,8.5,632059713.37,Drama
Movie C,2017,10.0,551026150.32,Drama
Movie C,1983,9.1,788981223.71,Crime
Movie E,1982,7.7,596197592.48,Action
Movie E,1995,8.5,672871352.35,Comedy
Movie A,2017,4.7,201841531.63,Drama
Movie B,2003,3.8,572984142.9,Romance
Movie D,2010,5.2,68923492.76,Comedy
Movie A,2016,2.0,563289548.35,Romance
Movie E,2000,2.0,211285540.12,Romance
Movie E,1986,6.8,199567117.45,Drama
Movie B,2020,6.0,229302358.78,Crime
Movie B,1982,5.4,65823601.44,Drama
Movie A,2009,2.0,481930425.26,Romance
Movie B,2005,2.1,624969561.44,Action
Movie A,2008,1.1,995815064.68,Action
Movie C,1994,8.6,336346157.96,Action
Movie E,1993,3.7,88212691.96,Comedy
Movie B,1988,8.1,973360316.23,Comedy
Movie B,2014,4.9,534851304.84,Comedy
Movie E,1992,1.2,194067344.16,Comedy
Movie B,2020,2.6,519410182.32,Romance
Movie B,1991,6.6,980187004.76,Comedy
Movie E,1998,3.4,839394056.76,Drama
Movie A,2006,2.9,508307551.42,Comedy
Movie A,2017,5.6,190363707.33,Action
Movie B,2006,1.4,918722502.83,Crime
Movie D,1994,8.9,404022419.69,Drama
Movie B,2003,2.1,188276979.66,Romance
Movie A,2000,4.8,226380836.16,Romance
Movie C,1997,9.2,739287552.67,Drama
Movie C,2001,5.0,519583424.35,Action
Movie D,2023,5.2,81578577.26,Drama
Movie B,1982,2.4,580140552.55,Romance
Movie A,1980,5.6,829420780.96,Crime
Movie B,1998,2.8,615703493.22,Crime
Movie E,2002,5.3,451293466.51,Romance
Movie E,2010,8.5,115310585.62,Action
Movie C,1995,6.9,575343803.3,Action
Movie B,2011,8.9,531213034.26,Comedy
Movie E,1983,2.0,993535679.43,Action
Movie E,2007,5.8,634185024.9,Romance
Movie C,2021,9.7,697072883.25,Drama
Movie D,2005,5.4,156561031.11,Crime
Movie A,1987,2.9,205027946.5,Comedy
Movie B,1991,8.7,647798020.37,Action
Movie A,2012,9.5,922622034.61,Comedy
Movie A,2009,1.9,1386844.28,Action
Movie A,2003,6.5,115947091.13,Crime
Movie D,1993,1.3,510122237.81,Romance
Movie C,2010,7.4,592155495.83,Romance
Movie A,1999,5.6,645575298.07,Romance
Movie A,1998,7.5,349940040.9,Action
Movie C,2019,8.1,71765848.57,Romance
Movie A,1984,2.2,276438731.77,Romance
Movie E,2018,9.4,982911659.71,Romance
Movie D,1998,1.7,338754695.78,Crime
Movie E,2017,5.6,205027946.5,Crime
Movie D,2018,6.4,718637165.6,Action
Movie E,2022,7.3,759562204.22,Crime
Movie D,1988,5.1,486094230.18,Comedy
Movie C,1987,8.4,952504554.58,Crime
Movie A,1987,3.6,79085725.92,Crime
Movie B,2011,5.3,621584332.01,Romance
Movie E,1989,9.9,181910178.68,Comedy
Movie D,1992,2.4,594492866.18,Romance
Movie A,1983,5.3,89466842.9,Crime
Movie D,2010,6.4,822165612.19,Comedy
Movie E,2015,1.8,901842501.46,Comedy
Movie A,1989,1.4,70015709.87,Romance
Movie C,2008,3.5,202668024.78,Drama
Movie B,2010,9.6,936287015.14,Comedy
Movie D,2004,9.6,374590325.95,Romance
Movie C,2013,3.2,703170638.89,Action
Movie B,1992,3.0,746410975.66,Drama
Movie B,1984,8.7,245052574.27,Comedy
Movie A,1985,2.7,577819888.49,Comedy
Movie A,1994,7.6,99640737.15,Romance
Movie E,2007,9.8,651141991.27,Action
Movie A,1996,6.3,694799080.23,Romance
Movie A,1990,2.4,875468064.36,Action
Movie D,2002,7.2,968033662.76,Crime
Movie E,2019,5.9,798107682.02,Romance
Movie C,2006,5.4,551539682.27,Crime
Movie C,2015,8.8,180378089.46,Action
Movie D,1990,3.0,982910116.69,Drama
Movie B,2000,9.5,562946993.65,Drama
Movie A,2007,4.4,26826521.45,Crime
Movie B,1987,6.8,308778620.64,Action
Movie A,2016,3.8,55384377.64,Comedy
Movie A,2005,4.2,501248560.76,Drama
Movie A,2015,6.3,596731218.01,Crime
Movie A,1980,5.0,718290907.75,Action
Movie E,2003,8.4,971101783.56,Action
Movie A,1990,4.7,809420780.08,Crime
Movie D,2004,7.8,700810121.81,Crime
Movie B,1985,5.8,938495855.76,Romance
Movie B,1995,4.2,651167659.51,Comedy
Movie B,2016,6.3,582234910.24,Comedy
Movie A,1995,7.6,6957052.89,Drama
Movie E,2015,1.5,336607354.54,Action
Movie E,2015,7.8,757773241.83,Crime
Movie D,1981,2.9,561262087.69,Comedy
Movie C,2015,5.3,73867468.93,Drama
Movie E,1980,9.7,807901337.22,Crime
Movie C,2017,9.5,502620311.6,Romance
Movie E,1981,8.1,865009647.33,Drama
Movie E,1984,3.3,724345147.74,Action
Movie D,1997,3.6,58248703.16,Action
Movie D,2018,9.3,436495294.32,Crime
Movie B,2001,6.7,136430133.04,Romance
Movie C,1998,9.7,380049596.72,Comedy
Movie B,1987,4.3,110248935.46,Action
Movie E,1984,8.6,310185929.82,Action
Movie A,2021,9.8,32997747.68,Drama
Movie D,2004,5.3,53672519.52,Action
Movie D,2022,6.9,251771650.11,Crime
Movie E,1991,9.4,152821181.24,Crime
Movie B,1999,5.0,494436309.34,Romance
Movie E,1996,9.0,92586600.76,Action
Movie A,2008,6.9,580116455.37,Crime
Movie A,2007,4.9,51223186.49,Action
Movie E,2002,2.7,526879564.37,Comedy
Movie C,1984,2.8,376428298.8,Action
Movie B,1988,8.8,273246632.19,Action
Movie B,2011,8.1,107791999.4,Action
Movie E,1996,9.2,587424771.69,Romance
Movie B,2001,2.6,297834029.09,Drama
Movie B,2010,6.2,422797791.37,Action
Movie C,1997,6.4,143058505.39,Crime
Movie E,1989,4.6,735407145.67,Romance
Movie E,2020,3.7,159934052.71,Romance
Movie B,2015,1.3,303724620.41,Romance
Movie C,2022,2.2,809974282.2,Crime
Movie C,2014,5.6,476810697.17,Comedy
Movie C,1987,9.6,699898662.39,Crime
Movie D,2021,2.1,748975432.53,Drama
Movie A,2023,4.6,11170787.07,Romance
Movie E,1991,8.2,587879203.5,Drama
Movie D,2023,3.6,168057628.1,Drama
Movie A,1990,3.5,178614107.41,Romance
Movie D,1996,4.7,253109937.73,Romance
Movie B,2000,1.3,927585325.42,Romance
Movie E,2001,8.4,277596787.07,Romance
Movie A,2001,7.9,342429259.46,Action
Movie D,1985,2.3,892515046.0,Drama
Movie C,1980,3.9,273919116.14,Comedy
Movie B,2001,9.7,826669341.65,Crime
Movie C,1990,3.6,648559696.96,Comedy
Movie B,2000,5.5,831144846.11,Romance
Movie E,2018,1.7,328233668.86,Crime
Movie E,2017,5.1,688062571.79,Comedy
Movie D,1993,6.1,6919215.78,Romance
Movie E,2011,3.6,489152683.99,Action
Movie B,1986,8.3,772077246.72,Action
Movie D,1980,5.0,943900696.67,Comedy
Movie A,2005,1.1,977982397.68,Comedy
Movie A,2003,5.3,118003332.09,Comedy
Movie D,2013,8.9,539314605.39,Drama
Movie B,1999,8.4,35053828.86,Romance
Movie D,2002,7.2,934199483.54,Crime
Movie E,2002,2.6,719361748.26,Romance
Movie A,2021,6.2,477886892.55,Drama
Movie D,2009,8.8,810110530.26,Action
Movie A,1986,3.5,775023449.07,Comedy
Movie E,2005,2.7,564951937.34,Action
Movie A,2015,9.6,330117062.11,Action
Movie B,2009,3.7,845862860.32,Romance
Movie A,1989,7.5,16802228.04,Romance
Movie A,1984,1.5,943778842.64,Drama
Movie D,1992,3.1,769758684.9,Comedy
Movie C,1992,4.8,684119139.94,Romance
Movie A,2003,7.5,110373646.79,Crime
Movie D,1985,8.7,314586689.91,Drama
Movie A,2004,3.2,204250534.28,Comedy
Movie E,1985,1.8,713822603.86,Comedy
Movie A,1980,3.9,628300758.08,Crime
Movie A,2021,5.4,364145800.7,Comedy
Movie B,2000,1.9,385961484.27,Drama
Movie C,1988,9.8,143081729.43,Crime
Movie B,1989,6.7,762152815.39,Comedy
Movie B,2023,1.3,265572957.36,Romance
Movie A,1984,9.2,829650848.57,Romance
Movie C,1986,7.3,235310941.59,Crime
Movie E,1991,2.4,461696266.03,Action
Movie D,2020,7.4,154316311.17,Comedy
Movie E,1985,2.2,940070735.71,Romance
Movie C,1989,8.4,800066872.86,Drama
Movie A,1985,7.9,751129295.88,Drama
Movie D,1994,4.7,125935557.07,Action
Movie D,2020,8.9,938360326.22,Comedy
Movie B,2007,2.7,571611268.87,Drama
Movie D,2009,1.3,231487366.64,Crime
Movie D,1989,3.8,153474554.44,Drama
Movie D,1996,8.4,73561041.11,Comedy
Movie C,1993,7.6,362006936.42,Crime
Movie D,2013,4.6,225876296.66,Comedy
Movie D,1992,3.4,264653932.51,Action
Movie B,1986,6.2,931413506.22,Romance
Movie B,1997,8.7,799190248.01,Crime
Movie D,2011,6.5,809182519.49,Action
Movie B,2006,5.0,882297015.37,Drama
Movie C,1997,8.5,703991386.18,Romance
Movie B,2003,8.0,782137305.8,Action
Movie B,1996,1.4,962665813.26,Crime
Movie E,1986,9.3,498204471.9,Comedy
Movie D,2009,1.3,403177455.41,Crime
Movie C,2015,9.1,501983143.08,Crime
Movie C,2005,5.6,808204783.75,Crime
Movie B,2020,9.9,737079663.26,Comedy
Movie C,1998,4.7,672772292.62,Drama
Movie B,1998,7.9,503885062.97,Comedy
Movie E,2013,8.8,821363069.41,Romance
Movie B,2021,2.9,616705978.17,Crime
Movie B,2016,6.1,403187581.1,Crime
Movie C,2008,5.5,916761251.46,Action
Movie C,2015,2.2,794987174.29,Crime
Movie C,2014,1.8,698191047.63,Comedy
Movie E,2021,6.5,495612841.74,Action
Movie C,2005,3.4,856702418.3,Comedy
Movie A,1981,6.4,324523992.81,Romance
Movie A,2004,2.6,272085727.23,Comedy
Movie A,1996,2.0,432454031.05,Crime
Movie E,2022,9.5,823138247.05,Drama
Movie B,2002,3.1,548237080.43,Comedy
Movie E,1983,1.2,193956499.89,Action
Movie D,2022,9.2,78011128.32,Romance
Movie D,2001,4.8,652219178.14,Crime
Movie B,2019,1.5,4580802.47,Crime
Movie C,1992,3.2,706000853.52,Drama
Movie D,2014,3.0,78429081.44,Romance
Movie A,1994,5.1,305948449.17,Action
Movie C,2001,7.1,259154478.94,Action
Movie B,1997,7.5,637590031.09,Crime
Movie D,2013,8.7,103564539.97,Romance
Movie A,2000,6.0,576380182.21,Drama
Movie B,2018,5.2,687146878.81,Drama
Movie B,2011,5.1,155671872.45,Romance
Movie B,1987,5.2,74569204.55,Drama
Movie B,2000,9.1,643072101.95,Comedy
Movie A,2009,3.3,679922679.46,Romance
Movie D,1996,1.1,629453031.77,Crime
Movie D,2010,8.6,648794016.23,Romance
Movie C,2015,7.2,465676982.91,Romance
Movie B,1982,2.1,705959490.77,Drama
Movie B,1991,9.4,293752558.39,Action
Movie B,2021,8.5,315084956.96,Action
Movie B,1992,9.9,639662825.01,Comedy
Movie C,2009,3.1,199057518.43,Romance
Movie C,1996,7.7,88340321.98,Action
Movie B,1992,5.7,714493497.57,Romance
Movie E,2000,6.3,716376808.12,Crime
Movie D,2019,4.3,232980950.64,Drama
Movie A,1985,7.5,164258671.67,Action
Movie A,2006,8.5,915597953.13,Romance
Movie E,2005,3.8,442153352.9,Crime
Movie D,1994,7.7,218255500.88,Romance
Movie B,2018,6.6,779448954.12,Drama
Movie E,1993,8.6,290446730.74,Comedy
Movie D,1993,3.6,772720653.47,Action
Movie B,1996,5.2,81639525.08,Drama
Movie E,1987,9.2,839900304.62,Action
Movie D,1995,3.5,795292699.19,Action
Movie D,2012,8.7,381939037.17,Romance
Movie D,2018,6.0,14302802.1,Crime
Movie A,1980,6.5,760758091.59,Crime
Movie A,1980,7.5,90936660.2,Comedy
Movie E,1990,8.8,673796951.78,Romance
Movie C,1986,1.7,691657086.52,Romance
Movie A,2020,2.3,888930554.24,Romance
Movie E,1985,7.9,154736095.04,Crime
Movie A,2004,1.1,340993739.9,Drama
Movie E,2013,3.7,298371178.6,Romance
Movie D,1984,3.8,847106340.56,Crime
Movie D,2011,3.1,831766414.93,Romance
Movie A,2004,5.7,893893040.8,Drama
Movie A,2017,6.4,614799774.67,Romance
Movie E,1997,2.7,220512061.0,Romance
Movie B,2011,8.9,773260253.52,Action
Movie A,2008,5.6,878642148.55,Comedy
Movie E,2022,9.9,883977938.91,Romance
Movie A,2000,8.5,133437357.97,Drama
Movie A,1988,7.4,565431009.91,Crime
Movie B,2018,1.7,895608374.54,Action
Movie C,1990,3.2,313627187.05,Drama
Movie D,1985,2.8,875468064.36,Crime
Movie D,2014,8.0,326109529.31,Crime
Movie B,2018,4.7,870697991.81,Comedy
Movie E,2014,4.7,134624263.35,Crime
Movie D,2005,1.7,163756944.91,Comedy
Movie A,1993,8.9,569492087.06,Romance
Movie E,1991,7.7,583577343.41,Drama
Movie B,1986,6.9,298281114.75,Comedy
Movie E,1987,4.9,699712849.45,Action
Movie C,1980,8.1,690929128.18,Crime
Movie D,2018,3.4,306906230.65,Drama
Movie E,2011,9.5,523084046.12,Drama
Movie B,2001,1.7,751639389.4,Romance
Movie C,1998,8.8,993580892.03,Action
Movie D,1985,4.7,469667714.57,Crime
Movie C,1996,6.7,496199309.13,Crime
Movie A,2007,2.7,729890372.37,Comedy
Movie E,1993,8.8,937027857.08,Romance
Movie B,1997,2.8,35053828.86,Comedy
Movie B,1997,3.0,274326992.33,Romance
Movie C,1998,7.8,17906753.09,Romance
Movie D,2016,7.3,877843591.63,Comedy
Movie E,2023,5.6,744146303.8,Action
Movie A,1994,8.6,245992241.75,Romance
Movie E,1984,4.6,729776373.59,Romance
Movie B,2010,2.8,121175893.49,Romance
Movie A,2005,1.8,97186080.17,Comedy
Movie B,2015,8.6,926721187.84,Crime
Movie C,1987,6.7,462997266.46,Romance
Movie C,2014,1.1,526249909.26,Action
Movie B,1985,2.1,322973418.68,Action
Movie D,1987,1.1,574274555.11,Crime
Movie D,2020,9.4,530861536.99,Comedy
Movie D,2010,9.7,61645438.04,Romance
Movie E,2004,4.0,237481463.03,Drama
Movie A,1992,2.9,512472605.94,Comedy
Movie B,1980,3.3,366264796.74,Crime
Movie C,1998,6.7,551549680.31,Comedy
Movie C,1994,3.1,963674158.91,Action
Movie C,1986,6.4,772077297.92,Drama
Movie C,2014,8.9,137809332.29,Action
Movie C,1989,5.5,764390416.05,Action
Movie A,1992,4.3,870881745.79,Romance
Movie E,2021,9.9,676335590.48,Crime
Movie C,1989,8.5,656736131.65,Action
Movie D,2010,9.9,14533273.86,Drama
Movie D,1983,7.4,786080091.78,Crime
Movie A,2017,3.9,716325482.45,Crime
Movie B,2013,9.5,751639389.4,Drama
Movie D,1984,7.2,21057875.33,Drama
Movie C,2015,5.0,555632766.54,Drama
Movie A,1981,7.3,161719207.72,Romance
Movie C,1994,7.9,699607516.52,Romance
Movie C,2007,3.5,451905920.54,Comedy
Movie E,1980,8.3,748320650.0,Comedy
Movie E,1988,4.6,516445289.95,Romance
Movie B,2013,6.4,267491943.83,Comedy
Movie E,1996,7.5,844886257.98,Comedy
Movie A,1989,7.8,51709935.8,Romance
Movie B,1994,9.4,285728843.72,Comedy
Movie A,1992,3.5,224317037.33,Crime
Movie C,1996,6.7,264172252.06,Crime
Movie A,1998,2.8,93688278.11,Action
Movie B,1982,4.1,98228028.28,Comedy
Movie C,2006,6.5,527102387.77,Romance
Movie C,2005,2.0,535213432.12,Comedy
Movie B,1999,7.3,153474554.44,Comedy
Movie B,1984,4.6,580388783.33,Drama
Movie B,2003,3.5,478919106.41,Action
Movie E,1999,8.6,975106439.74,Action
Movie A,1990,2.6,156760803.93,Crime
Movie E,2000,4.3,91130764.84,Comedy
Movie B,2004,3.4,866050041.24,Romance
Movie D,1998,5.3,18560279.22,Comedy
Movie E,2005,1.4,663936627.8,Comedy
Movie A,2023,7.8,996960483.12,Comedy
Movie C,2018,9.7,347128189.98,Crime
Movie D,2012,5.1,875580167.9,Action
Movie B,2014,8.7,970252436.53,Comedy
Movie C,1985,2.9,316480159.85,Crime
Movie A,2005,4.5,308705265.99,Drama
Movie C,1986,1.0,159341704.82,Comedy
Movie C,2007,9.3,142975242.55,Action
Movie E,1989,2.0,498952584.32,Drama
Movie C,2007,1.4,48529692.56,Crime
Movie B,2018,2.5,96667700.44,Drama
Movie B,2008,4.6,944365679.03,Drama
Movie B,2000,4.8,442439274.65,Comedy
Movie E,1994,8.6,395794660.15,Drama
Movie B,2023,5.8,467045889.04,Action
Movie B,1994,1.9,100694850.88,Drama
Movie C,1985,6.2,159341704.82,Action
Movie C,1990,5.8,120822066.37,Crime
Movie E,1985,9.2,109095971.71,Comedy
Movie B,2017,1.9,917101696.13,Action
Movie A,1985,5.7,908434831.22,Romance
Movie E,2002,3.6,855002476.22,Drama
Movie A,2009,9.0,666562879.66,Romance
Movie A,2015,7.4,311971864.73,Romance
Movie A,2021,7.0,975113580.52,Romance
Movie A,1998,8.6,758350982.84,Comedy
Movie E,1994,6.5,267316751.72,Drama
Movie A,1989,1.1,49212175.96,Crime
Movie B,2016,4.8,797997677.42,Drama
Movie E,1991,2.9,4477440.68,Action
Movie E,2002,5.8,69037671.69,Drama
Movie B,2023,6.7,480333836.96,Comedy
Movie B,1991,1.9,563850885.41,Action
Movie C,1987,8.9,140636533.62,Crime
Movie D,1995,6.3,155469616.71,Drama
Movie E,1995,2.9,667413291.95,Crime
Movie B,1981,8.2,670528158.76,Romance
Movie A,1982,9.9,475383525.72,Drama
Movie D,1981,7.0,551664666.86,Romance
Movie D,1997,8.9,634368409.69,Drama
Movie C,2002,3.4,317911427.51,Romance
Movie B,2021,5.5,514659101.28,Romance
Movie C,2019,4.5,670210917.6,Comedy
Movie A,2005,3.9,735407145.67,Romance
Movie E,2015,3.7,716239254.91,Crime
Movie D,1983,7.5,730248498.58,Romance
Movie B,2000,3.1,732816562.06,Comedy
Movie E,1999,6.7,903647575.07,Drama
Movie C,1987,3.9,769118255.39,Romance
Movie E,2009,4.5,137806492.32,Action
Movie E,2018,3.7,926721187.84,Comedy
Movie B,1999,4.5,865921594.56,Crime
Movie D,1983,6.7,763338772.18,Crime
Movie E,1997,6.6,457474540.75,Romance
Movie D,1994,5.9,230581369.67,Comedy
Movie B,2009,9.8,790322111.13,Crime
Movie D,2020,9.7,201898826.66,Action
Movie C,2016,5.5,75240188.73,Crime
Movie D,1980,1.3,204272939.81,Crime
Movie C,1982,4.9,826989696.13,Romance
Movie E,1998,6.2,456463543.25,Comedy
Movie E,2021,7.0,120072588.45,Action
Movie D,2017,5.9,957909010.98,Drama
Movie D,1985,2.6,371807849.22,Romance
Movie A,1988,6.2,690454885.41,Comedy
